City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,San Fernando,PH,80.69,overcast clouds,15.0286,120.6898,Maharlika Hostel
10,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
21,Hilo,US,83.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
39,Bubaque,GW,83.59,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
46,Neiafu,TO,84.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
48,Faanui,PF,82.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Itarema,BR,81.0,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
58,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
62,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
64,Bundaberg,AU,80.22,overcast clouds,-24.85,152.35,Takalvan Motel
65,Hithadhoo,MV,81.34,broken clouds,-0.6,73.0833,Scoop Guest House
75,Kavieng,PG,85.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
81,Biak,ID,80.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
83,Dingle,PH,80.29,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
85,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
92,Robertsport,LR,81.37,light rain,6.7533,-11.3686,Kwepunha Retreat
100,Namatanai,PG,85.28,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
122,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
125,Sarangani,PH,80.92,overcast clouds,5.4033,125.4636,Ballistic Islet
140,Finschhafen,PG,85.73,light rain,-6.6024,147.8681,Cossam Guest House
153,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
160,Vaini,TO,87.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
167,Samarai,PG,84.94,overcast clouds,-10.6167,150.6667,Nuli Sapi
176,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
180,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
187,General Roca,AR,81.0,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
198,Maraba,BR,82.58,very heavy rain,-5.3686,-49.1178,Hotel Del Principe
211,Sabya,SA,82.02,clear sky,17.1495,42.6254,Aseel Hotel Apartment
220,Hervey Bay,AU,80.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
