City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narsaq,GL,60.9167,-46.05,37.29,99,100,7.94,light rain
1,Thompson,CA,55.7435,-97.8558,-3.84,77,75,2.3,broken clouds
2,Nikolskoye,RU,59.7035,30.7861,40.87,97,100,12.91,overcast clouds
3,Mwinilunga,ZM,-11.7358,24.4293,62.64,84,100,2.55,overcast clouds
4,Avinurme,EE,58.9822,26.8642,37.04,95,100,13.2,overcast clouds
5,Cherskiy,RU,68.75,161.3,-27.87,100,100,4.43,overcast clouds
6,Jamestown,US,42.097,-79.2353,44.19,95,90,5.99,mist
7,San Fernando,PH,15.0286,120.6898,80.69,80,100,4.59,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,76.95,70,9,9.98,clear sky
9,Upernavik,GL,72.7868,-56.1549,22.33,76,100,9.35,overcast clouds
10,Butaritari,KI,3.0707,172.7902,82.49,73,95,17.34,overcast clouds
11,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,60,2.42,broken clouds
12,Sampit,ID,-2.5333,112.95,77.88,87,100,2.84,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,63.97,76,100,21.9,overcast clouds
14,Lasa,IT,46.6166,10.7002,36.34,96,100,0.94,overcast clouds
15,Hambantota,LK,6.1241,81.1185,77.04,88,98,7.92,overcast clouds
16,Busselton,AU,-33.65,115.3333,66.09,54,87,9.24,overcast clouds
17,Kargasok,RU,59.0556,80.8572,0.12,97,57,7.52,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,66.09,60,0,13.8,clear sky
19,Jertih,MY,5.7336,102.4897,73.27,98,100,0.87,heavy intensity rain
20,Chokurdakh,RU,70.6333,147.9167,-30.86,100,26,3.89,scattered clouds
21,Hilo,US,19.7297,-155.09,83.28,93,90,0.0,moderate rain
22,Ahipara,NZ,-35.1667,173.1667,65.84,68,57,4.27,broken clouds
23,Tiksi,RU,71.6872,128.8694,1.99,79,100,5.64,overcast clouds
24,Chuy,UY,-33.6971,-53.4616,63.86,97,96,5.79,light rain
25,Portland,US,45.5234,-122.6762,56.77,69,75,1.01,broken clouds
26,Muisne,EC,0.6,-80.0333,74.07,79,100,7.83,overcast clouds
27,Opuwo,NA,-18.0607,13.84,67.8,16,3,11.16,clear sky
28,Mataura,NZ,-46.1927,168.8643,56.5,79,100,4.56,overcast clouds
29,Houma,US,29.5958,-90.7195,70.0,90,85,1.01,light rain
30,New Norfolk,AU,-42.7826,147.0587,59.72,41,31,3.0,scattered clouds
31,Punta Arenas,CL,-53.15,-70.9167,48.31,53,40,24.16,scattered clouds
32,Bismarck,US,46.8083,-100.7837,31.87,80,90,1.99,overcast clouds
33,Bluff,NZ,-46.6,168.3333,50.31,91,100,11.61,overcast clouds
34,Coos Bay,US,43.3665,-124.2179,55.38,85,1,8.05,clear sky
35,Kampene,CD,-3.6,26.6667,67.73,100,100,1.79,light rain
36,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,3.44,scattered clouds
37,Ostrovnoy,RU,68.0531,39.5131,22.26,65,100,8.52,overcast clouds
38,Carnarvon,AU,-24.8667,113.6333,78.87,34,1,5.75,clear sky
39,Bubaque,GW,11.2833,-15.8333,83.59,70,94,10.58,overcast clouds
40,Saint-Paul,RE,-21.0096,55.2707,78.91,89,23,4.16,few clouds
41,Ushuaia,AR,-54.8,-68.3,42.46,70,40,23.02,scattered clouds
42,Vila Velha,BR,-20.3297,-40.2925,75.15,81,75,3.44,broken clouds
43,Boulsa,BF,12.6675,-0.5758,79.32,18,1,8.43,clear sky
44,Rio Gallegos,AR,-51.6226,-69.2181,53.65,32,20,29.93,few clouds
45,A Coruna,ES,43.3713,-8.396,53.58,80,20,7.0,few clouds
46,Neiafu,TO,-18.65,-173.9833,84.88,70,75,5.75,broken clouds
47,Fayaoue,NC,-20.65,166.5333,78.08,75,16,9.31,few clouds
48,Faanui,PF,-16.4833,-151.75,82.38,69,10,17.72,clear sky
49,Road Town,VG,18.4167,-64.6167,78.84,83,40,9.22,scattered clouds
50,Itarema,BR,-2.9248,-39.9167,81.0,75,88,13.98,overcast clouds
51,Hobart,AU,-42.8794,147.3294,60.06,59,75,1.01,broken clouds
52,Rudnyy,KZ,52.9594,63.1206,5.23,93,86,10.67,overcast clouds
53,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,0,11.5,clear sky
54,Khatanga,RU,71.9667,102.5,-11.31,99,99,3.27,overcast clouds
55,Kumluca,TR,36.3703,30.2869,54.68,74,33,4.41,scattered clouds
56,Preston,GB,53.7667,-2.7167,44.15,91,100,3.0,light rain
57,Sumbe,AO,-11.2061,13.8437,77.04,84,100,6.31,overcast clouds
58,Sola,VU,-13.8833,167.55,83.07,79,75,5.75,broken clouds
59,Baykit,RU,61.67,96.37,8.53,96,100,1.05,light snow
60,Shimoda,JP,34.6667,138.95,61.16,56,0,20.33,clear sky
61,Oxford,GB,51.7522,-1.256,38.91,86,99,8.28,overcast clouds
62,Avarua,CK,-21.2078,-159.775,82.45,78,36,10.36,scattered clouds
63,Kodiak,US,57.79,-152.4072,20.71,45,1,21.85,volcanic ash
64,Bundaberg,AU,-24.85,152.35,80.22,92,90,4.0,overcast clouds
65,Hithadhoo,MV,-0.6,73.0833,81.34,69,82,12.82,broken clouds
66,Tambopata,PE,-12.7333,-69.1833,78.69,83,20,3.44,few clouds
67,Gravdal,NO,68.1214,13.5031,30.49,55,35,6.4,light snow
68,Columbus,US,39.9612,-82.9988,46.81,93,90,4.0,overcast clouds
69,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,76.89,70,16,6.64,few clouds
70,Hofn,IS,64.2539,-15.2082,32.29,55,0,29.89,clear sky
71,Lavrentiya,RU,65.5833,-171.0,-5.93,87,7,9.06,clear sky
72,Husavik,IS,66.0449,-17.3389,30.11,81,99,23.42,light snow
73,Jiquilpan,MX,19.7798,-103.7768,65.32,47,15,1.88,few clouds
74,Puerto Madryn,AR,-42.7692,-65.0385,63.61,48,5,13.91,clear sky
75,Kavieng,PG,-2.5744,150.7967,85.37,65,67,6.49,broken clouds
76,Norman Wells,CA,65.282,-126.8329,-16.56,69,90,6.91,light snow
77,Half Moon Bay,US,37.4636,-122.4286,68.14,55,1,0.0,clear sky
78,Burdur,TR,37.7203,30.2908,41.7,93,75,4.61,broken clouds
79,San Patricio,US,28.017,-97.5169,57.18,71,100,14.76,overcast clouds
80,Castro,BR,-24.7911,-50.0119,69.53,61,98,4.54,light rain
81,Biak,ID,-0.9131,122.8766,80.76,77,100,1.3,overcast clouds
82,Bethel,US,41.3712,-73.414,50.81,55,79,3.85,broken clouds
83,Dingle,PH,10.9995,122.6711,80.29,88,100,6.15,overcast clouds
84,Casper,US,42.8666,-106.3131,40.8,45,33,14.52,scattered clouds
85,Touros,BR,-5.1989,-35.4608,81.5,79,34,11.03,scattered clouds
86,Mehamn,NO,71.0357,27.8492,13.95,62,0,14.97,clear sky
87,Ilulissat,GL,69.2167,-51.1,12.52,80,100,5.84,overcast clouds
88,Harper,LR,4.375,-7.7169,79.34,84,57,8.14,light rain
89,Longyearbyen,SJ,78.2186,15.6401,10.24,67,40,18.41,scattered clouds
90,Chancay,PE,-11.5714,-77.2672,71.33,88,99,7.36,overcast clouds
91,Ucluelet,CA,48.9329,-125.5528,53.1,94,100,1.99,overcast clouds
92,Robertsport,LR,6.7533,-11.3686,81.37,79,7,8.61,light rain
93,Hermanus,ZA,-34.4187,19.2345,62.8,74,0,28.16,clear sky
94,Provideniya,RU,64.3833,-173.3,3.31,60,20,6.71,few clouds
95,Tubuala,PA,9.5167,-79.0333,77.32,88,100,2.64,overcast clouds
96,Russell,US,32.3502,-85.1999,56.98,82,75,0.0,broken clouds
97,Muros,ES,42.7762,-9.0603,51.84,84,29,18.1,scattered clouds
98,Albany,US,42.6001,-73.9662,42.8,71,100,1.54,overcast clouds
99,Teknaf,BD,20.8624,92.3058,68.83,71,1,4.83,clear sky
100,Namatanai,PG,-3.6667,152.4333,85.28,64,91,3.11,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,70.56,87,73,11.01,broken clouds
102,Padang,ID,-0.9492,100.3543,75.25,80,90,4.43,overcast clouds
103,Port Elizabeth,ZA,-33.918,25.5701,64.69,77,75,17.27,broken clouds
104,Marathon,US,44.9,-89.7668,20.44,70,58,12.37,broken clouds
105,Yellowknife,CA,62.456,-114.3525,11.41,91,90,13.8,light snow
106,Kultuk,RU,51.7208,103.6956,28.15,83,98,4.0,overcast clouds
107,Airai,TL,-8.9266,125.4092,70.81,71,52,0.4,broken clouds
108,Richards Bay,ZA,-28.783,32.0377,65.28,74,100,4.07,overcast clouds
109,Saint-Pierre,RE,-21.3393,55.4781,78.48,67,90,0.0,overcast clouds
110,Constitucion,CL,-35.3333,-72.4167,57.96,75,4,15.14,clear sky
111,Viedma,AR,-40.8135,-62.9967,65.12,44,0,8.08,clear sky
112,San Cristobal,VE,7.7669,-72.225,71.78,98,89,0.49,overcast clouds
113,Yulara,AU,-25.2406,130.9889,66.04,59,0,12.66,clear sky
114,Puerto Palomas,MX,31.7667,-107.6167,51.94,32,92,11.36,overcast clouds
115,Salinopolis,BR,-0.6136,-47.3561,79.97,82,99,8.16,overcast clouds
116,Atuona,PF,-9.8,-139.0333,78.73,78,12,17.65,light rain
